歌名,連結
租购,https://open.spotify.com/track/7og3eChrp5sxdq1cGv5uW7
认真的雪,https://open.spotify.com/track/2ukWUxS1rgl8erHlCjoYzb
2045 - 戰爭桌遊主題曲,https://open.spotify.com/track/0OoSOpohqaJX69UcwlmMOD
天外来物,https://open.spotify.com/track/4evIzA3tOUSwIH1TVOri8c
你还要我怎样,https://open.spotify.com/track/76MGmL8o4IH47wiOYJWXER
張氏情歌,https://open.spotify.com/track/3AAnVLWCLQsYWjPSvQykIj
演员,https://open.spotify.com/track/34mRQFXVDXFdZz3pqddU7x
演员,https://open.spotify.com/track/5Sib99jpYybZAicUMETb3h
軟硬,https://open.spotify.com/track/3VBDTk3B5q1Gvr0MUwLvAU
违背的青春,https://open.spotify.com/track/3Z7eTp6gWg91gVLJ9riJdH
玖三零幻想曲,https://open.spotify.com/track/38BtokDlGQHrDTlSOdyZxD
其实,https://open.spotify.com/track/6Mmdzst5fLkrKjhdkGhLpe
丑八怪,https://open.spotify.com/track/1i2JfPfFxzDQbQ0RsDbbVV
16 HK Rap Up (Full Version),https://open.spotify.com/track/0LBo0e4z3Xza9d7w0mm25g
像风一样,https://open.spotify.com/track/73mSnMlj7Ebizyd6N6cEbN
